Brand,Model,Processor,RAM,Storage Capacity,Display Size,OS,GPU,Weight,Warranty,Price,
Asus,Asus Zenbook Flip 13 UX363EA-HP106T,Intel Core i7,16GB ,512GB SSD,"13.3""",Windows 10,Intel ,1.3,2,393000.00,
Asus,Asus Zenbook 14 UX425,Intel Core i7,8GB,512GB SSD,"14.0""",Windows 10,Intel ,1.2,2,303000.00,
Asus,Asus TUF Dash F15,Intel Core i7,16GB,512GB SSD,"15.6""",Windows 10,4GB NVIDIA GeForce,2,2,375000.00,
Asus,Asus ROG Zephyrus G15 ,AMD Ryzen 9,16GB,512GB SSD,"15.6""",Windows 10 ,NVIDIA GeForce,2.5,2,429000.00,
Asus,Asus Zenbook-14 UX435EG-KK232T,Intel Core i7,16GB,1TB SSD,"14.0"" ",Windows 10,NVIDIA GeForce,1.2,2,385000.00,
Asus,Asus X515EA-EJ939T,Intel Core i3,4GB,512GB SSD,"15.6""",Windows 10,Intel ,1.7,2,155000.00,
Asus,Asus X515EP-BQ201T,Intel Core i5,8GB ,512GB SSD,"15.6""",Windows 10,2GB NVIDIA GeForce,1.75,2,219000.00,
Asus,Asus Vivobook X513Ep,Intel Core i5,8GB ,512GB SSD,"15.6""",Windows 10,2GB NVIDIA GeForce,1.7,2,220000.00,
Asus,Asus Vivobook X513EA,Intel Core i3,4GB,512GB SSD,"15.6""",Windows 10,Intel ,1.8,2,162000.00,
Asus,ASUS ROG Scar 15 G5333QM-HF095T ,AMD Ryzen 9,16GB,1TB SSD,"15.6""",Windows 10,6GB NVIDIA GeForce,2.5,2,535000.00,
Asus,Asus flip BR1100C,Intel Celeron ,4GB,128GB SSD,"11.6""",Windows 10,Intel ,1.4,3,120000.00,
Asus,ASUS VivoBook K15 Ultra ,Intel Core i5,8GB,512GB SSD,"15.6""",Windows 10,NVIDIA GeForce,1.75,2,247000.00,
Asus,ASUS VivoBook S15 S533EQ,Intel Core i7,16GB,512GB SSD,"15.6""",Windows 11,NVIDIA GeForce,1.75,2,298000.00,
Asus,ASUS VivoBook S15 BQ035T,Intel Core i7,8GB,512GB SSD,"15.6""",Windows 10,2GB NVIDIA GeForce,1.75,2,297000.00,
Asus,ASUS VivoBook S15 S533EQ,Intel Core i5,8GB,512GB SSD,"15.6""",Windows 10,NVIDIA GeForce,1.8,2,259000.00,
Asus,ASUS ZenBook 14 UX425EA-KI419T/459T,Intel Core i5,8GB,512GB SSD,"14.0""",Windows 10,Intel ,1.2,2,257000.00,
Asus,ASUS ZenBook 14UX435EG-AI084T,Intel Core i7,16GB,1TB SSD,"14.0""",Windows 10,2GB NVIDIA GeForce,1.8,2,375000.00,
Asus,ASUS Rog Zephyrus S15 GX502Iws,Intel Core i7,16GB ,1TB SSD,"15.6""",Windows 10,8GB RTX 2070 with ROG Boost,2.5,0,568500.00,
Asus,ASUS Vivobook Flip 14,Intel Core i5,8GB ,512GB SSD,"15.6""",Windows 10 ,Intel ,1.5,2,241000.00,
Asus,ASUS Expertbook B1500,Intel Core i5,8GB,1TB,"15.6""",Windows 10,Intel ,1.7,3,289000.00,
Asus,Asus X515E,Intel Core i3,4GB ,256GB SSD,"15.6""",Windows 10,Intel ,1.8,1,129000.00,
Asus,Asus ROG Zephyrus sS15,Intel Core i7,32GB,1TB SSD,"15.6""",Windows 10,NVIDIA GeForce RTX 2080 SUPER,2.5,2,549000.00,
Asus,ASUS ExpertBook B9400,Intel Core i7,16GB,1TB SSD,"14.0""",Windows 10,Intel ,1.8,3,423500.00,
Asus,ASUS TUF Gaming A15,AMD Ryzen 7,8GB,512GB SSD,"15.6""",Windows 11,4GB NVIDIA GeForce,2.3,2,305000.00,
Asus,Asus ExprrtBook,Intel Core i7,8GB,1TB SSD + 256GB SSD,"15.6""",Windows 11,NVIDIA GeForce,1.73,3,285000.00,
Asus,ASUS ZenBook Duo 14 UX482EG,Intel Core i5,8GB,512GB SSD,"14.0""",Windows 10,2GB NVIDIA GeForce,1.8,2,376000.00,
Asus,Asus TUF Gaming F15 FX506HCB-HN169T,Intel Core i7,8GB,512GB SSD,"15.6""",Windows 10,4GB NVIDIA GeForce,2.3,2,319000.00,
