Model,Brand,Processor,RAM,Storage Capacity,Display Size,OS,GPU,Weight,Warranty,Price
Pro P2540UA-XS51,Asus,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 620,2.37,1,#REF!
XPS 13,Dell,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.29,1,#REF!
XPS 15,Dell,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,"15.6""",Windows,Nvidia GeForce GTX 1050,2.06,1,#REF!
Latitude 3180,Dell,Intel Pentium Quad Core N4200 1.1GHz,4GB,128GB SSD,"11.6""",Windows,Intel HD Graphics 505,1.63,3,#REF!
EliteBook 820,HP,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 620,1.26,2,#REF!
Satellite Pro,Toshiba,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 520,2.1,1,#REF!
15-ba043na (A12-9700P/8GB/2TB/W10),HP,AMD A12-Series 9700P 2.5GHz,8GB,2TB HDD,"15.6""",Windows,AMD Radeon R7 Graphics,2.04,1,#REF!
Inspiron 7567,Dell,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,"15.6""",Windows,Nvidia GeForce GTX 1050 Ti,2.62,1,#REF!
IdeaPad 310-15IKB,Lenovo,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,"15.6""",Windows,Nvidia GeForce 920M,2.4,2,#REF!
Omen 17-an012dx,HP,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,"17.3""",Windows,AMD Radeon RX 580,3.74,3,#REF!
GE72MVR 7RG,MSI,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1070,2.9,3,#REF!
Notebook 9,Samsung,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,0.81,3,#REF!
Vostro 5568,Dell,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,"15.6""",Windows,Nvidia GeForce GT 940MX,1.98,3,#REF!
Vostro 3568,Dell,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"15.6""",Windows,AMD Radeon R5 M420,2.18,2,#REF!
Thinkpad T470s,Lenovo,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.32,3,#REF!
Blade Stealth,Razer,Intel Core i7 7500U 2.5GHz,16GB,512GB SSD,"12.5""",Windows,Intel HD Graphics 620,1.29,1,#REF!
Chromebook 11,HP,Intel Celeron Dual Core N3060 1.6GHz,4GB,16GB Flash Storage,"11.6""",Chrome OS,Intel HD Graphics 400,1.23,2,#REF!
Alienware 17,Dell,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1060,4.36,2,#REF!
Latitude 3480,Dell,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"14.0""",Windows,Intel HD Graphics 520,1.76,2,#REF!
V110-15ISK (i3-6006U/4GB/500GB/W10),Lenovo,Intel Core i3 6006U 2GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 520,2.1,2,#REF!
Tecra X40-D-10Z,Toshiba,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.25,2,#REF!
Thinkpad X1,Lenovo,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.13,2,#REF!
GL62M 7RD,MSI,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,"15.6""",Windows,Nvidia GeForce GTX 1050,2.4,2,#REF!
ThinkPad X1,Lenovo,Intel Core i5 7200U 2.5GHz,8GB,256GB Flash Storage,"14.0""",Windows,Intel HD Graphics 620,1.13,2,#REF!
Satellite Pro,Toshiba,Intel Pentium Dual Core 4405U 2.1GHz,4GB,128GB SSD,"14.0""",Windows,Intel HD Graphics 510,1.75,2,#REF!
ZenBook Flip,Asus,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.1,2,#REF!
Latitude 3480,Dell,Intel Core i3 6006U 2GHz,4GB,500GB HDD,"14.0""",Windows,Intel HD Graphics 520,1.76,2,#REF!
