Model,Brand,Processor,RAM,Storage Capacity,Display Size,OS,GPU,Weight,Warranty,Price
Vostro 3568,Dell,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,"15.6""",Windows,AMD Radeon R5 M420,2.18,1,#REF!
EliteBook 850,HP,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"15.6""",Windows,AMD Radeon R7 M365X,1.84,1,#REF!
Envy 13-AB077cl,HP,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.39,2,#REF!
Tecra Z50-C-140,Toshiba,Intel Core i7 6600U 2.6GHz,16GB,256GB SSD,"15.6""",Windows,Nvidia GeForce 930M,2.4,3,#REF!
ThinkPad Yoga,Lenovo,Intel Core i5 7200U 2.5GHz,8GB,512GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.37,3,#REF!
Latitude 3580,Dell,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 520,1.95,3,#REF!
Thinkpad X270,Lenovo,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 620,1.36,3,#REF!
Probook 650,HP,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 520,2.31,2,#REF!
Vostro 3568,Dell,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 620,2.18,3,#REF!
ProBook 640,HP,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"14.0""",Windows,Intel HD Graphics 520,1.95,1,#REF!
IdeaPad 320-15IAP,Lenovo,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 505,2.2,2,#REF!
EliteBook 820,HP,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"12.5""",Windows,Intel HD Graphics 520,1.26,2,#REF!
250 G6,HP,Intel Celeron Dual Core N3060 1.6GHz,4GB,1TB HDD,"15.6""",No OS,Intel HD Graphics 400,1.86,2,#REF!
Yoga 900-13ISK,Lenovo,Intel Core i7 6560U 2.2GHz,16GB,1TB SSD,"13.3""",Windows,Intel Iris Graphics 540,1.3,2,#REF!
Tecra Z40-C-12X,Toshiba,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.47,2,#REF!
EliteBook 820,HP,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 520,1.26,2,#REF!
Vostro 3568,Dell,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 520,2.18,2,#REF!
GP62M Leopard,MSI,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050,2.2,2,#REF!
Latitude 7480,Dell,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.36,2,#REF!
Alienware 17,Dell,Intel Core i7 6820HK 2.7GHz,16GB,512GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1080,4.36,2,#REF!
Omen 17-W006na,HP,Intel Core i5 6300HQ 2.3GHz,8GB,128GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 965M,2.75,2,#REF!
X751SV-TY001T (N3710/4GB/1TB/GeForce,Asus,Intel Pentium Quad Core N3710 1.6GHz,4GB,1TB HDD,"17.3""",Windows,Nvidia GeForce 920MX,2.8,3,#REF!
TravelMate P259-G2,Acer,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 620,2.23,2,#REF!
Tecra A50-C-1ZV,Toshiba,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 520,2.2,2,#REF!
Yoga 700-11ISK,Lenovo,Intel Core M m7-6Y75 1.2GHz,8GB,256GB SSD,"11.3""",Windows,Intel HD Graphics 515,1.1,2,#REF!
IdeaPad Y700-15ACZ,Lenovo,AMD FX 8800P 2.1GHz,16GB,512GB SSD +  1TB HDD,"15.6""",Windows,AMD Radeon R9 M385,2.5,2,#REF!
Latitude 7280,Dell,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics,1.36,2,#REF!
IdeaPad 310-15IKB,Lenovo,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,"15.6""",No OS,Nvidia GeForce 920MX,2.2,2,#REF!
Insprion 5767,Dell,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,"17.3""",Windows,AMD Radeon R7 M445,2.36,2,#REF!
Chromebook 14,Acer,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,"14.0""",Chrome OS,Intel HD Graphics 400,1.68,3,#REF!
ZBook Studio,HP,Intel Core i7 6820HQ 2.7GHz,8GB,8GB SSD,"15.6""",Windows,Nvidia Quadro M1000M,2,2,#REF!
Latitude 7480,Dell,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.36,2,#REF!
Portege Z30-C-1CW,Toshiba,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.2,2,#REF!
Chromebook Flip,Asus,Intel Core M M7-6Y75 1.2GHz,8GB,64GB Flash Storage,"12.5""",Chrome OS,Intel HD Graphics 515,1.2,2,#REF!
Thinkpad T460,Lenovo,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.7,2,#REF!
Alienware 17,Dell,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1070,4.36,2,#REF!
XPS 13,Dell,Intel Core i5 7Y54 1.2GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 615,1.24,2,#REF!
ProBook x360,HP,Intel Pentium Quad Core N4200 1.1GHz,4GB,256GB SSD,"11.6""",Windows,Intel HD Graphics 505,1.45,3,#REF!
XPS 13,Dell,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.3,2,#REF!
Chromebook C738T-C2EJ,Acer,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,"11.6""",Chrome OS,Intel HD Graphics 400,1.25,2,#REF!
Portege Z30-C-16Z,Toshiba,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.2,2,#REF!
ThinkPad X270,Lenovo,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 620,1.36,2,#REF!
Aspire F5-573G-510L,Acer,Intel Core i5 7200U 2.5GHz,12GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 950M,2.4,2,#REF!
Portege X20W-D-10V,Toshiba,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,"12.5""",Windows,Intel HD Graphics 620,1.1,2,#REF!
ProBook 450,HP,Intel Core i5 7200U 2.50GHz,8GB,1TB HDD,"15.6""",Windows,Nvidia GeForce 930MX,2.04,2,#REF!
Inspiron 3567,Dell,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,"15.6""",Linux,AMD Radeon R5 M430,2.25,2,#REF!
Latitude 5580,Dell,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 620,1.9,2,#REF!
ProBook 450,HP,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 620,2.04,2,#REF!
Alienware 17,Dell,Intel Core i7 7700HQ 2.8GHz,32GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1070,4.42,3,#REF!
IdeaPad 310-15IKB,Lenovo,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,"15.6""",Windows,Nvidia GeForce 920MX,2.4,2,#REF!
XPS 13,Dell,Intel Core i7 7Y75 1.3GHz,16GB,512GB SSD,"13.3""",Windows,Intel HD Graphics 615,1.22,2,#REF!
Latitude E7470,Dell,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.5,2,#REF!
Alienware 17,Dell,Intel Core i7 6700HQ 2.6GHz,32GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1070,4.42,2,#REF!
Tecra A40-C-1DF,Toshiba,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.95,2,#REF!
Rog Strix,Asus,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1060,2.73,2,#REF!
Probook 450,HP,Intel Core i5 7200U 2.70GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce 930MX,2.04,2,#REF!
ThinkPad T460,Lenovo,Intel Core i5 6200U 2.3GHz,4GB,508GB Hybrid,"14.0""",Windows,Intel HD Graphics 520,1.7,2,#REF!
Q534UX-BHI7T19 (i7-7500U/16GB/2TB,Asus,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD +  2TB HDD,"15.6""",Windows,Nvidia GeForce GTX 950M,2.3,2,#REF!
15-bs053od (i7-7500U/6GB/1TB/W10),HP,Intel Core i7 7500U 2.7GHz,6GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 620,2.04,2,#REF!
Rog GL753VE-DS74,Asus,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1050 Ti,2.99,2,#REF!
Inspiron 7579,Dell,Intel Core i7 7500U 2.7GHz,12GB,512GB SSD,"15.6""",Windows,Intel HD Graphics 620,2.19,2,#REF!
Portege Z30-C-1CV,Toshiba,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.2,2,#REF!
IdeaPad 320-15ABR,Lenovo,AMD A12-Series 9720P 3.6GHz,6GB,256GB SSD,"15.6""",Windows,AMD Radeon 530,2.2,2,#REF!
LifeBook A556,Fujitsu,Intel Core i5 6200U 2.3GHz,4GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 520,2.3,2,#REF!
Tecra A40-C-1KF,Toshiba,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"14.0""",Windows,Intel HD Graphics 520,1.75,2,#REF!
Inspiron 3567,Dell,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"15.6""",Windows,AMD Radeon R5 M430,2.25,2,#REF!
Probook 450,HP,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 620,2.04,2,#REF!
Legion Y520-15IKBN,Lenovo,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1060,2.5,2,#REF!
Inspiron 5567,Dell,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,"15.6""",Windows,AMD Radeon R7 M445,2.36,2,#REF!
Latitude 5480,Dell,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,"14.0""",Windows,Intel HD Graphics 620 ,1.6,2,#REF!
EliteBook Folio,HP,Intel Core M 6Y75 1.2GHz,8GB,512GB SSD,"12.5""",Windows,Intel HD Graphics 515,0.97,2,#REF!
15-bs005nv (i3-6006U/4GB/1TB,HP,Intel Core i3 6006U 2GHz,4GB,128GB SSD +  1TB HDD,"15.6""",Windows,AMD Radeon 520,2.1,2,#REF!
V110-15IAP (N3350/4GB/128GB/No,Lenovo,Intel Celeron Dual Core N3350 1.1GHz,4GB,128GB SSD,"15.6""",No OS,Intel HD Graphics 500,1.9,1,#REF!
ThinkPad T560,Lenovo,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 520,2.3,1,#REF!
Inspiron 5378,Dell,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.68,1,#REF!
ZenBook UX310UA-FB485T,Asus,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.4,1,#REF!
Spectre 13-V111dx,HP,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.11,2,#REF!
Aspire ES1-533,Acer,Intel Pentium Quad Core N4200 1.1GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 505,2.4,2,#REF!
Rog GL553VE-DS74,Asus,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050 Ti,2.5,1,#REF!
EliteBook 840,HP,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.48,2,#REF!
Nitro 5,Acer,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050,2.7,1,#REF!
ENVY -,HP,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.34,1,#REF!
Vostro 3568,Dell,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,"15.6""",Windows,Intel HD Graphics 620,2.18,3,#REF!
Probook 440,HP,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"14.0""",Windows,Intel HD Graphics 620,1.64,2,#REF!
Portege Z30-C-16H,Toshiba,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.2,2,#REF!
EliteBook 840,HP,Intel Core i5 6300U 2.4GHz,4GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.48,2,#REF!
ProBook 640,HP,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.95,2,#REF!
EliteBook 1040,HP,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.43,2,#REF!
ProBook 440,HP,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"14.0""",Windows,Nvidia GeForce 930MX,1.64,2,#REF!
Probook 440,HP,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,"14.0""",Windows,Intel HD Graphics 620,1.64,2,#REF!
Inspiron 7567,Dell,Intel Core i5 7300HQ 2.5GHz,8GB,1TB Hybrid,"15.6""",Windows,Nvidia GeForce GTX 1050,2.65,3,#REF!
EliteBook 820,HP,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"12.5""",Windows,Intel HD Graphics 620,1.26,2,#REF!
Elitebook 840,HP,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.48,2,#REF!
EliteBook 840,HP,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.54,2,#REF!
Probook 430,HP,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,"13.3""",Windows,Intel HD Graphics 620,1.49,2,#REF!
Portege A30-C-1CZ,Toshiba,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.5,2,#REF!
ProBook 450,HP,Intel Core i3 7100U 2.4GHz,4GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 620,2.04,2,#REF!
ThinkPad P70,Lenovo,Intel Core i7 6820HQ 2.7GHz,16GB,512GB SSD,"17.3""",Windows,Nvidia Quadro 3000M,2.4,2,#REF!
Tecra Z40-C-12Z,Toshiba,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.47,2,#REF!
EliteBook 1040,HP,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.43,2,#REF!
Inspiron 5568,Dell,Intel Core i3 6100U 2.3GHz,4GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 520,2.08,1,#REF!
Portégé Z30-C-16K,Toshiba,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.2,1,#REF!
Spectre 13-V100nv,HP,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.11,1,#REF!
ProBook 440,HP,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"14.0""",Windows,Nvidia GeForce 930MX,1.64,0,#REF!
Latitude E5570,Dell,Intel Core i5 6300U 2.4GHz,8GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 520,2.09,1,#REF!
Elitebook 820,HP,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 620,1.26,2,#REF!
ProBook 650,HP,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"14.0""",Windows,Intel HD Graphics 620,2.31,1,#REF!
ProBook 640,HP,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"14.0""",Windows,Intel HD Graphics 620,1.95,1,#REF!
XPS 13,Dell,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.29,1,#REF!
Probook 470,HP,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"17.3""",Windows,Nvidia GeForce 930MX,2.63,1,#REF!
ProBook 440,HP,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.64,1,#REF!
Aspire 3,Acer,AMD A9-Series 9420 3GHz,6GB,1TB HDD,"15.6""",Windows,AMD Radeon R5,2.1,1,#REF!
GL72M 7RDX,MSI,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1050,2.7,1,#REF!
Probook 640,HP,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.95,0,#REF!
EliteBook 850,HP,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 520,1.84,3,#REF!
EliteBook 820,HP,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 520,1.26,3,#REF!
ProBook 450,HP,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 620,2.04,1,#REF!
Tecra Z40-C-136,Toshiba,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.47,2,#REF!
Latitude E5570,Dell,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 520,2.09,2,#REF!
ProBook 440,HP,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.64,2,#REF!
Yoga 500-15ISK,Lenovo,Intel Core i7 6500U 2.5GHz,4GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 520,1.8,2,#REF!
V142 (X5-Z8350/2GB/32GB/W10),Vero,Intel Atom X5-Z8350 1.44GHz,2GB,32GB Flash Storage,"14.0""",Windows,Intel HD Graphics 400,1.45,2,#REF!
Tecra A50-C-218,Toshiba,Intel Core i7 6500U 2.5GHz,16GB,256GB SSD,"15.6""",Windows,Nvidia GeForce 930M,2.4,2,#REF!
Thinkpad L560,Lenovo,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 520,2.3,2,#REF!
EliteBook 840,HP,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"14.0""",Windows,Intel HD Graphics 520,1.54,2,#REF!
EliteBook 850,HP,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD +  500GB HDD,"15.6""",Windows,Intel HD Graphics 520,1.84,2,#REF!
EliteBook 1040,HP,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.43,2,#REF!
GT72S Dominator,MSI,Intel Core i7 6820HK 2.7GHz,16GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 980M,3.78,2,#REF!
IdeaPad Y900-17ISK,Lenovo,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 980M,4.6,2,#REF!
Chromebook C202SA,Asus,Intel Celeron Dual Core N3060 1.6GHz,4GB,16GB Flash Storage,"11.6""",Chrome OS,Intel HD Graphics 400,1.2,2,#REF!
ThinkPad X1,Lenovo,Intel Core i7 6600U 2.6GHz,16GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.1,2,#REF!
Noteb Pav,HP,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,"15.6""",Windows,Nvidia GeForce 940MX,1.91,3,#REF!
Inspiron 5578,Dell,Intel Core i5 7200U 2.7GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 620,2.3,2,#REF!
ProBook 450,HP,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 620,2.04,2,#REF!
XPS 13,Dell,Intel Core i7 7500U 2.7GHz,16GB,1TB SSD,"13.3""",Windows,Intel HD Graphics 620,1.2,2,#REF!
ProBook 650,HP,Intel Core i3 6100U 2.3GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 520,2.31,2,#REF!
250 G5,HP,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"15.6""",No OS,Intel HD Graphics 620,1.96,2,#REF!
Aspire ES1-523,Acer,AMD A8-Series 7410 2.2GHz,8GB,1TB HDD,"15.6""",Windows,AMD Radeon R5,2.4,2,#REF!
Inspiron 7378,Dell,Intel Core i7 7500U 2.7GHz,12GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.6,0,#REF!
GT62VR 6RD,MSI,Intel Core i7 6700HQ 2.6GHz,16GB,256GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1060,2.94,2,#REF!
ProBook 450,HP,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 620,2.04,3,#REF!
Rog G752VL-GC088D,Asus,Intel Core i7 6700HQ 2.6GHz,16GB,1TB HDD,"17.3""",No OS,Nvidia GeForce GTX 965M,4,1,#REF!
Inspiron 3567,Dell,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,"15.6""",Windows,Intel HD Graphics,2.25,2,#REF!
Inspiron 5567,Dell,Intel Core i7 7500U 2.7GHz,16GB,2TB HDD,"15.6""",Windows,AMD Radeon R7 M445,2.32,3,#REF!
GS63VR 6RF,MSI,Intel Core i7 6700HQ 2.6GHz,16GB,256GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1060,1.8,2,#REF!
XPS 13,Dell,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.29,3,#REF!
ROG G701VO,Asus,Intel Core i7 6820HK 2.7GHz,64GB,1TB SSD,"17.3""",Windows,Nvidia GeForce GTX 980 ,3.58,2,#REF!
Inspiron 5368,Dell,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.62,2,#REF!
Alienware 15,Dell,Intel Core i7 6700HQ 2.6GHz,16GB,256GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 970M,3.21,2,#REF!
"MacBook 12""",Apple,Intel Core M 1.1GHz,8GB,256GB Flash Storage,"12.0""",Mac OS,Intel HD Graphics 515,0.92,2,#REF!
Latitude 3570,Dell,Intel Core i3 6100U 2.3GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 520,2.06,2,#REF!
ProBook 650,HP,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 520,2.31,2,#REF!
EliteBook 820,HP,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 520,1.26,1,#REF!
ProBook 430,HP,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.49,1,#REF!
ThinkPad Yoga,Lenovo,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 520,1.3,1,#REF!
IdeaPad 300-17ISK,Lenovo,Intel Core i5 6200U 2.3GHz,8GB,1TB HDD,"17.3""",Windows,AMD Radeon R5 M330,3,1,#REF!
Ideapad 700-15ISK,Lenovo,Intel Core i5 6300HQ 2.3GHz,4GB,1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 950M,2.3,3,#REF!
GT72VR Dominator,MSI,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1070,3.78,2,#REF!
V110-15ISK (i5-6200U/4GB/500GB/W10),Lenovo,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 520,2.1,1,#REF!
Probook 650,HP,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 520,2.31,1,#REF!
Yoga 900S-12ISK,Lenovo,Intel Core M 6Y75 1.2GHz,8GB,512GB SSD,"12.5""",Windows,Intel HD Graphics 515,0.99,1,#REF!
IdeaPad Y900-17ISK,Lenovo,Intel Core i7 6820HK 2.7GHz,32GB,512GB SSD +  1TB Hybrid,"17.3""",Windows,Nvidia GeForce GTX 980M,4.6,2,#REF!
Yoga Book,Lenovo,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,"10.1""",Windows,Intel HD Graphics 400,0.69,3,#REF!
Spectre x360,HP,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.3,3,#REF!
Vostro 3568,Dell,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 620,2.18,3,#REF!
EliteBook 840,HP,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"14.0""",Windows,Intel HD Graphics 520,1.54,3,#REF!
ZBook 15u,HP,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"15.6""",Windows,AMD FirePro W4190M,1.9,2,#REF!
ThinkPad T460,Lenovo,Intel Core i5 6200U 2.3GHz,8GB,1GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.7,3,#REF!
Chromebook 13,HP,Intel Pentium Dual Core 4405Y 1.5GHz,4GB,32GB Flash Storage,"13.3""",Chrome OS,Intel HD Graphics 515,1.29,1,#REF!
Aspire ES1-523,Acer,AMD A8-Series 7410 2.2GHz,4GB,500GB HDD,"15.6""",Windows,AMD Radeon R5,2.4,2,#REF!
Inspiron 3552,Dell,Intel Pentium Quad Core N3700 1.6GHz,4GB,500GB HDD,"15.6""",Linux,Intel HD Graphics,2.2,2,#REF!
250 G6,HP,Intel Core i3 6006U 2GHz,4GB,1TB HDD,"15.6""",No OS,Intel HD Graphics 520,1.86,2,#REF!
Rog GL702VM-GC354T,Asus,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1060,2.7,2,#REF!
Inspiron 5370,Dell,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,"13.3""",Windows,AMD Radeon 530,1.4,2,#REF!
Elitebook 820,HP,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,"12.5""",Windows,Intel HD Graphics 520,2.4,2,#REF!
